Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[nsi.dll]",1,0.21,0x76D51936,0,0,0,0,
"[nsi.dll]",1,0.21,0x76D51E2B,0,0,0,0,
"[ntdll.dll]",1,0.21,0x7FF826015C1B,0,0,0,0,
"[oleaut32.dll]",1,0.21,0x76FC922B,0,0,0,0,
"[propsys.dll]",1,0.21,0x721419FA,0,0,0,0,
"[rewrite.dll]",1,0.21,0x519C0825,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D49BE,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D7B7A,0,0,0,0,
"[rpcrt4.dll]",1,0.21,0x770D9134,0,0,0,0,
"[SHCore.dll]",1,0.21,0x75482FAB,0,0,0,0,
"[ucrtbase.dll]",1,0.21,0x772AB5D4,0,0,0,0,
"[webio.dll]",1,0.21,0x69475E63,0,0,0,0,
"[webio.dll]",1,0.21,0x694786E0,0,0,0,0,
"[webio.dll]",1,0.21,0x694889EE,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x7566D369,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x7566E2AF,0,0,0,0,
"[windows.storage.dll]",1,0.21,0x756C3FDA,0,0,0,0,
"[winhttp.dll]",1,0.21,0x6E21E4C3,0,0,0,0,
"[wow64cpu.dll]",1,0.21,0x72C7184E,0,0,0,0,
"[wow64cpu.dll]",1,0.21,0x72C71AD6,0,0,0,0,
"[xmllite.dll]",1,0.21,0x6EC4DAE6,0,0,0,0,
"[xmllite.dll]",1,0.21,0x6EC4E150,0,0,0,0,
